cluster_id,firing_rate,presence_ratio,isi_viol,num_viol,amplitude_cutoff,isolation_distance,contam_rate,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
54,12.846387327768928,0.99,0.16873939763755652,194.0,0.000820546313137757,89.73228297761352,14.373563871620314,0.002262261967131448,4.914464978316115,0.976,0.0011927836588638736,0.09546172513027673,1.57,14.03,complete_session,complete_session,34,3.0536146929425083,0.2197654941373534,0.1510887772194304,0.2722587456397295,1.2029316274616644,-0.1135682039195605,267.57665990687246,210.0,0.3706362500332353,-1.059942023664747
55,1.2110232262175193,0.99,0.0,0.0,0.001900535786776701,86.18614466146988,0.0,5.9619760665748366e-05,7.94966199978845,0.8717948717948718,0.00010065425264217414,0.19700227616214322,3.4,24.78,complete_session,complete_session,34,3.871180580202045,0.7966499162479062,0.2060301507537688,0.2364093971462486,0.6232220159358463,-0.0538424939944925,267.8248115117992,60.0,0.4578447794528184,-1.8313791178112784
56,5.459452014397302,0.99,0.12328862297150789,27.0,0.17053473939852254,93.96541548002922,4.538558096381597,0.0013855783095527744,4.362046009298778,0.937641723356009,0.004189848203860155,0.05036238290679599,1.8,22.31,complete_session,complete_session,34,2.1991584752095656,0.6730318257956448,0.2472361809045226,0.3086136647809587,0.3958822601229789,-0.0319179063691449,143.9054807027181,105.0,1.098827470686767,0.6409826912339482
57,10.694818776961077,0.99,0.11424138991966115,97.0,0.5,87.29870607454299,14.088556216375217,0.001789776329435698,3.2516253043802132,0.9633333333333334,0.0035960933349679213,0.08010552730892019,3.02,32.25,complete_session,complete_session,34,1.950629149252958,0.2609715242881072,0.1510887772194304,0.3407707364471766,0.6610491085736164,-0.0996031899050583,146.2675067300933,150.0,0.5559543750498528,0.1831379117811273
58,1.6731990581241691,0.99,0.0,0.0,6.76909552736299e-05,196.16899406266757,0.0,4.2501332713536066e-11,12.491781282094609,0.9759036144578314,0.00010083694665725522,0.2728684920876545,1.38,12.44,complete_session,complete_session,35,5.720119111997315,0.8653266331658291,0.1510887772194304,0.1754396126215573,0.9786533189363998,-0.0697730522311107,380.578300444152,45.0,0.4578447794528201,0.9156895589056367
59,1.3825884971525635,0.99,0.06689565261368924,1.0,0.0027938150189541575,34.8578612140692,0.5095407842314952,0.05867322926014284,3.04126483792955,0.13131313131313133,0.0009059794644654722,0.02251075116702691,5.61,49.13,complete_session,complete_session,35,2.8381030333083226,0.5768844221105526,0.1922948073701842,0.2401726235700149,0.7772839205604455,-0.0373460937382279,225.8049687252769,150.0,1.7659727207465905,0.0
60,3.2890638037674944,0.99,0.20922116221383408,15.0,0.10476222022060121,67.35754912812044,2.936217129642631,0.002617304269506434,4.786667729965684,0.9249448123620309,0.0006091989034419738,0.1095752282042484,2.99,29.8,complete_session,complete_session,36,2.2102647726151354,0.5906197654941373,0.1785594639865997,0.2844984626748755,0.4673260396258918,-0.0275242271211103,152.29164285862697,105.0,1.373534338358459,0.0
61,0.9786223107417322,0.99,0.0,0.0,0.004785204088345885,110.52604537693627,0.16871906314137392,1.0510295143752885e-07,9.144990859561217,0.9710144927536232,0.00010046212577858148,0.3118671598855416,2.4,23.29,complete_session,complete_session,37,5.089635681873991,0.535678391959799,0.1373534338358459,0.2372269612597126,1.3435559454400166,-0.1310459443508934,369.8507518614904,60.0,1.3735343383584586,0.4578447794528201
62,30.829666453916975,0.99,0.008738506000166013,69.0,0.025876426193228462,143.629953318636,4.7579914681251365,0.0012877669506237122,5.489713509421998,0.992,0.005929543076386466,0.09127273698011094,1.31,11.31,complete_session,complete_session,37,2.6479159073738496,0.3296482412060302,0.1510887772194304,0.2935469093078039,0.8443664462678171,-0.1254227403567919,197.43152015278827,105.0,2.655499720826355,0.0
63,3.2562388157059425,0.99,0.011382911927082406,1.0,0.0016132557580969713,124.16938563305045,0.13939070897224648,6.815962603091978e-07,8.042118474889557,1.0,0.00010157440325038091,0.2002008504876864,1.0,8.71,complete_session,complete_session,37,4.765696226344708,0.7279731993299832,0.1785594639865997,0.2580185296402614,0.7413417702772547,-0.0895122518011507,330.5406467888945,45.0,0.45784477945282,0.0
